"Col2","Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Asset Id","KP","Pipeline Section","Utility Type","Utility Description","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date","Crossing Permit Required?","Permit/Notification Date 2","Comments","Thrust Block Category"
"","","","","","","","","","","PWG-TB-087","23666.289","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-088","23999.457","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-089","24426.9","PWG","THRUST BLOCK","Type 5","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-090","24713.951","PWG","THRUST BLOCK","Type 5","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-091","24909.165","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-092","25129.481","PWG","THRUST BLOCK","Type 5","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-093","25162.559","PWG","THRUST BLOCK","Type 4","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-094","25169.588","PWG","THRUST BLOCK","Type 5","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-095","25391.145","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-096","25800.795","PWG","THRUST BLOCK","Type 5","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-097","25804.926","PWG","THRUST BLOCK","Type 5","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-098","25817.226","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-099","26038.676","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-100","26195.427","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-101","26560.798","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
