"Asset Type","Unit","Rate","Effective From","Rate Source / Basis","Status","Cost Rate","Margin ($)","Margin %"
"TRENCH STOP","each","1112.5","24 Aug 2026","J. Krasnoff-Hnatjuk, 24 Aug 2026. Item detail C-DWG-PTW-105.1 Rev 1, Issued for Construction.","Applied on Master Register (442 items)","","",""
"BULK HEAD","each","20507","24 Aug 2026","J. Krasnoff-Hnatjuk, 24 Aug 2026. Item detail C-DWG-PTW-105.1 Rev 1, Issued for Construction.","Applied on Master Register (47 items)","","",""
"THRUST BLOCK","each","","","","Superseded by Table 4 below — priced per type, not one rate for all 255","","",""
"TRENCHED CREEK CROSSING","each","","","","Not yet priced (32 items)","","",""
"MINOR ROAD CROSSING","each","","","","Not yet priced (22 items)","","",""
"MAJOR ROAD CROSSING","each","","","","Not yet priced (11 items)","","",""
"MAJOR RAIL CROSSING","each","","","","Not yet priced (3 items)","","",""
"CARPARK/SIDE LANE","each","","","","Not yet priced (4 items)","","",""
"TREE REMOVAL","m2","","","","Not yet priced (91 records, Area (m2) held on Master Register)","","",""
