"Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Drawing (START)","Drawing (END)","KP (START)","KP (END)","Trench Type","Total Length Sections (m)","Pipeline Section","Utility Description","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date","Crossing Permit Required?","Permit/Notification Date (2)","Comments","Trench Type (2)","PWG","PHW","Total (m)","No of Sections","Source Row"
"","","","","","","","","","D-DWG-PWG-026.2","D-DWG-PWG-027.2","18166.781","18217.47","1A","50.6890000000021","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","199"
"","","","","","","","","","D-DWG-PWG-027.2","D-DWG-PWG-027.2","18217.47","18231.348","6","13.8780000000006","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200"
"","","","","","","","","","D-DWG-PWG-027.2","D-DWG-PWG-032.2","18231.348","22319.185","1A","4087.837","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201"
"","","","","","","","","","D-DWG-PWG-032.2","D-DWG-PWG-032.2","22319.185","22360.55","5","41.364999999998","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202"
"","","","","","","","","","D-DWG-PWG-032.2","D-DWG-PWG-036.2","22360.55","24944.548","1A","2583.998","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203"
"","","","","","","","","","D-DWG-PWG-036.2","D-DWG-PWG-036.2","24944.548","24954.52","1B/1C","9.97200000000157","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204"
"","","","","","","","","","D-DWG-PWG-036.2","D-DWG-PWG-036.2","24954.52","25018.345","5","63.8250000000007","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205"
"","","","","","","","","","D-DWG-PWG-036.2","D-DWG-PWG-036.2","25018.345","25052.461","1B/1C","34.1159999999982","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206"
"","","","","","","","","","D-DWG-PWG-036.2","D-DWG-PWG-038.2","25052.461","26010.44","1A","957.978999999999","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207"
"","","","","","","","","","D-DWG-PWG-038.2","D-DWG-PWG-038.2","26010.44","26026.47","6","16.0300000000025","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208"
"","","","","","","","","","D-DWG-PWG-038.2","D-DWG-PWG-038.2","26026.47","26252.108","1A","225.637999999999","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209"
"","","","","","","","","","D-DWG-PWG-038.2","D-DWG-PWG-038.2","26252.108","26283.028","8A","30.9199999999983","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210"
"","","","","","","","","","D-DWG-PWG-038.2","D-DWG-PWG-039.2","26283.028","26988.368","1A","705.34","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211"
"","","","","","","","","","D-DWG-PWG-039.2","D-DWG-PWG-039.2","26988.368","27002.147","4","13.7790000000023","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212"
"","","","","","","","","","D-DWG-PWG-039.2","D-DWG-PWG-039.2","27002.147","27012.465","1A","10.3179999999993","PWG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213"
