"Pipeline Section","Thrust Block Type","Item","Fitting","Angle / Size","Material","DN (mm)","Blocks","Unit","Rate","Cuts","Effective From","Rate Source / Basis","Lookup Key","Cost Rate","Margin ($)","Margin %"
"PWG","Type 6","Bend; 45 deg","Bend","45","DICL","375","6","each","13458","","2026-08-27","Item PWG-6200.06.05 (Provisional Quantity); BoQ qty=8 vs register I=6 — verify","PWG|Type 6|Bend; 45 deg","10596.850393700788","2861.149606299212","0.21259842519685035"
"PWG","Type 6","Bend; MS - 31.9°","Bend","31.9","MSCL","450","1","each","22689","2","2026-08-27","Item PWG-6200.06.10b (Provisional Quantity) — covers 22.6°–45° range (31.9° & 37.4° cuts)","PWG|Type 6|Bend; MS - 31.9°","17865.354330708662","4823.645669291338","0.21259842519685038"
"PWG","Type 6","Bend; MS - 37.4°","Bend","37.4","MSCL","450","1","each","22689","2","2026-08-27","Item PWG-6200.06.10b (Provisional Quantity) — covers 22.6°–45° range (31.9° & 37.4° cuts)","PWG|Type 6|Bend; MS - 37.4°","17865.354330708662","4823.645669291338","0.21259842519685038"
"PWG","Type 6","Tee; DN375XDN150 DIFBE SCOUR TEE","Tee","DN375xDN150 DIFBE SCOUR TEE","","150","2","each","","","","","PWG|Type 6|Tee; DN375XDN150 DIFBE SCOUR TEE","0","",""
"PWG","Type 7","Bend; 11.25 deg","Bend","11.25","DICL","375","46","each","12566","","2026-08-27","Item PWG-6200.07.01 (Provisional Quantity)","PWG|Type 7|Bend; 11.25 deg","9894.488188976378","2671.5118110236217","0.21259842519685038"
"PWG","Type 7","Bend; 22.5 deg","Bend","22.5","DICL","375","11","each","12690","","2026-08-27","Item PWG-6200.07.02 (Provisional Quantity)","PWG|Type 7|Bend; 22.5 deg","9992.125984251968","2697.8740157480315","0.2125984251968504"
"PWG","Type 7","Tee; DN375XDN150 DIFBE SCOUR TEE","Tee","DN375xDN150 DIFBE SCOUR TEE","","150","21","each","","","","","PWG|Type 7|Tee; DN375XDN150 DIFBE SCOUR TEE","0","",""
"PWG","Type 9","Bend; 11.25 deg","Bend","11.25","DICL","375","4","each","12764","","2026-08-27","Item PWG-6200.09.01 (Provisional Quantity)","PWG|Type 9|Bend; 11.25 deg","10050.393700787401","2713.606299212599","0.21259842519685043"
"PWG","Type 9","Bend; MS - 8.9°","Bend","8.9","MSCL","450","1","each","12887","1","2026-08-27","Item PWG-6200.09.10a (Provisional Quantity)","PWG|Type 9|Bend; MS - 8.9°","10147.24409448819","2739.755905511811","0.21259842519685038"
"PWG","Type 10","Bend; MS - 10.3°","Bend","10.3","MSCL","450","1","each","49855","1","2026-08-27","Item PWG-6200.10.10a (Provisional Quantity) — covers up to 22.5° bracket (10.3° & 10.6° cuts)","PWG|Type 10|Bend; MS - 10.3°","39255.90551181103","10599.094488188974","0.21259842519685035"
"PWG","Type 10","Bend; MS - 10.6°","Bend","10.6","MSCL","450","1","each","49855","1","2026-08-27","Item PWG-6200.10.10a (Provisional Quantity) — covers up to 22.5° bracket (10.3° & 10.6° cuts)","PWG|Type 10|Bend; MS - 10.6°","39255.90551181103","10599.094488188974","0.21259842519685035"
"PWG","Type 11","Bend; 11.25 deg","Bend","11.25","DICL","375","4","each","28674","","2026-08-27","Item PWG-6200.11.01 (Provisional Quantity); BoQ qty=3 vs register I=4 — verify","PWG|Type 11|Bend; 11.25 deg","22577.952755905513","6096.047244094487","0.21259842519685035"
"PWG","Type 11","Bend; MS - 10.1°","Bend","10.1","MSCL","450","1","each","35673","1","2026-08-27","Item PWG-6200.11.10a (Provisional Quantity) — covers up to 22.5° bracket (10.1° & 8.9° cuts)","PWG|Type 11|Bend; MS - 10.1°","28088.976377952757","7584.023622047243","0.21259842519685038"
"PWG","Type 11","Bend; MS - 8.9°","Bend","8.9","MSCL","450","1","each","35673","1","2026-08-27","Item PWG-6200.11.10a (Provisional Quantity) — covers up to 22.5° bracket (10.1° & 8.9° cuts)","PWG|Type 11|Bend; MS - 8.9°","28088.976377952757","7584.023622047243","0.21259842519685038"
"PWG","Type 12","Isolation valve","Isolation Valve","","","375","1","each","","","","","PWG|Type 12|Isolation valve","","",""
"PWG","Type 13","Isolation valve","Isolation Valve","","","375","5","each","","","","","PWG|Type 13|Isolation valve","","",""
"PWG","2 x Type 13","Pigging station","Pigging Station","","","375","6","each","","","","","PWG|2 x Type 13|Pigging station","","",""
"RHF","RHF TYPE 1","Facility thrust block","Facility","","","","5","each","","","","","RHF|RHF TYPE 1|Facility thrust block","","",""
"RHF","TYPE 1","Facility thrust block","Facility","","","","1","each","","","","","RHF|TYPE 1|Facility thrust block","","",""
"RHF","RHF TYPE 2","Facility thrust block","Facility","","","","2","each","","","","","RHF|RHF TYPE 2|Facility thrust block","","",""
"RHF","RHF TYPE 3","Facility thrust block","Facility","","","","1","each","","","","","RHF|RHF TYPE 3|Facility thrust block","","",""
"RHF","RHF TYPE 4","Facility thrust block","Facility","","","","4","each","","","","","RHF|RHF TYPE 4|Facility thrust block","","",""
