"Asset Id","Pipeline Section","KP","Utility Description","Utility Type","Operator","Size (mm)","Info Source","Drawing","Drawing (superseded)","Included in Current Plan","Comments","Source Row"
"PHW-FN-0014","PHW","2923","FENCE CHAINWIRE","FENCE","","","","D-DWG-PHW-005.2","D-DWG-PHW-005_C","Yes","","35"
"PHW-FN-0015","PHW","2923","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-005.2","D-DWG-PHW-005_C","Yes","","36"
"PHW-EL-0004","PHW","3000","PUP ELECTRICITY","ELECTRICITY","Ergon Energy","","PUP","D-DWG-PHW-005.2","","Yes","POWER POLE TO BE RELOCATED BY
OTHERS (ERGON) PRIOR TO CONSTRUCTION","37"
"PHW-EL-0005","PHW","3350","PUP ELECTRICITY","ELECTRICITY","Ergon Energy","","PUP","D-DWG-PHW-005.2","","Yes","POWER POLE TO BE RELOCATED BY
OTHERS (ERGON) PRIOR TO CONSTRUCTION","38"
"PHW-WA-0007","PHW","3537","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-005.2","","Yes","","39"
"PHW-WA-0009","PHW","3544","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-005.2","","Yes","","40"
"PHW-CM-0009","PHW","3545","BYDA COMMS DN15","COMMUNICATIONS","","15","BYDA","D-DWG-PHW-005.2","","Yes","","41"
"PHW-WA-0008","PHW","3538","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-006.2","","Yes","","42"
"PHW-WA-0010","PHW","3545","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-006.2","","Yes","","43"
"PHW-CM-0010","PHW","3546","BYDA COMMS DN15","COMMUNICATIONS","","15","BYDA","D-DWG-PHW-006.2","","Yes","","44"
"PHW-EL-0006","PHW","3559","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-006.2","","Yes","","45"
"PHW-EL-0007","PHW","3560","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-006.2","","Yes","","46"
"PHW-CM-0011","PHW","3762","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-006.2","D-DWG-PHW-006_C","Yes","","47"
"PHW-EL-0008","PHW","3762","BYDA ELECTRICITY LV","ELECTRICITY","","","BYDA","D-DWG-PHW-006.2","D-DWG-PHW-006_C","Yes","","48"
"PHW-CM-0012","PHW","3845","BYDA COMMS DN15","COMMUNICATIONS","","15","BYDA","D-DWG-PHW-006.2","","Yes","","49"
"PHW-WA-0011","PHW","3847","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-006.2","","Yes","","50"
"PHW-WA-0012","PHW","3855","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-006.2","","Yes","","51"
"PHW-EL-0009","PHW","4102","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-006.2","","Yes","","52"
"PHW-WA-0013","PHW","4119","BYDA WATER","WATER","","","BYDA","D-DWG-PHW-006.2","","Yes","","53"
"PHW-CM-0013","PHW","4178","BYDA TELSTRA COMMS DN35","COMMUNICATIONS","Telstra","35","BYDA","D-DWG-PHW-006.2","","Yes","","54"
"PHW-EL-0010","PHW","4178","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-006.2","","Yes","","55"
"PHW-EL-0011","PHW","4317","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-007.2","","Yes","","56"
"PHW-WA-0014","PHW","4417","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-007.2","","Yes","","57"
"PHW-CM-0014","PHW","4417","BYDA COMMS DN15 ","COMMUNICATIONS","","15","BYDA","D-DWG-PHW-007.2","","Yes","","58"
"PHW-CM-0015","PHW","4435","BYDA TELSTRA COMMS DN20","COMMUNICATIONS","Telstra","20","BYDA","D-DWG-PHW-007.2","","Yes","","59"
"PHW-CM-0016","PHW","4437","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-007.2","D-DWG-PHW-007_C","Yes","","60"
"PHW-SW-0003","PHW","4448","BYDA TRC SEWER","SEWER","Toowoomba Regional Council","","BYDA","D-DWG-PHW-007.2","D-DWG-PHW-007_C","Yes","","61"
"PHW-CM-0017","PHW","5494","BYDA TELSTRA COMMS","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-008.2","","Yes","","62"
"PHW-CM-0018","PHW","5494","BYDA TELSTRA COMMS","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-008.2","","Yes","","63"
"PHW-GA-0001","PHW","6125","BYDA GAS DN400","GAS","APA Group","400","BYDA","D-DWG-PHW-009.2","","Yes","LOCATION/DEPTH OF DUAL APA GAS
MAINS NOT KNOWN. CONTRACTOR TO
CONFIRM PRIOR TO CONSTRUCTION.","64"
"PHW-GA-0002","PHW","6141","BYDA GAS DN400","GAS","","400","BYDA","D-DWG-PHW-009.2","","Yes","","65"
"PHW-GA-0003","PHW","6194","BYDA GAS DN400","GAS","","400","BYDA","D-DWG-PHW-009.2","","Yes","","66"
"PHW-EL-0012","PHW","6237","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-009.2","D-DWG-PHW-009_C","Yes","","67"
"PHW-FN-0016","PHW","6486","FENCE LINE NO POST - WIRE ONLY","FENCE","","","","D-DWG-PHW-010.2","","Yes","","68"
"PHW-GA-0004","PHW","6488","PUP GAS DN250","GAS","APA Group","250","PUP","D-DWG-PHW-010.2","","Yes","LOCATION/DEPTH OF DUAL APA GAS
MAINS NOT KNOWN. CONTRACTOR TO
CONFIRM PRIOR TO CONSTRUCTION.","69"
"PHW-GA-0005","PHW","6494","PUP GAS DN400","GAS","APA Group","400","PUP","D-DWG-PHW-010.2","","Yes","LOCATION/DEPTH OF DUAL APA GAS
MAINS NOT KNOWN. CONTRACTOR TO
CONFIRM PRIOR TO CONSTRUCTION.","70"
"PHW-FN-0017","PHW","6993","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-010.2","","Yes","","71"
"PHW-FN-0018","PHW","6993","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-010.2","","Yes","","72"
"PHW-CM-0019","PHW","6995","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-010.2","","Yes","","73"
"PHW-CM-0020","PHW","6996","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-010.2","","Yes","","74"
"PHW-CM-0021","PHW","6996","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-010.2","","Yes","","75"
"PHW-CM-0022","PHW","6997","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-010.2","","Yes","","76"
"PHW-CM-0023","PHW","6998","BYDA NEXTGEN","COMMUNICATIONS","Nextgen","","BYDA","D-DWG-PHW-010.2","","Yes","","77"
"PHW-CM-0024","PHW","7021","BYDA NBN COMMS","COMMUNICATIONS","NBN Co","","BYDA","D-DWG-PHW-011.2","D-DWG-PHW-011_C","Yes","","78"
"PHW-CM-0025","PHW","7021","BYDA NBN COMMS","COMMUNICATIONS","NBN Co","","BYDA","D-DWG-PHW-011.2","D-DWG-PHW-011_C","Yes","","79"
"PHW-WA-0015","PHW","7030","BYDA TRC WATER","WATER","Toowoomba Regional Council","","BYDA","D-DWG-PHW-011.2","D-DWG-PHW-011_C","Yes","","80"
"PHW-EL-0013","PHW","7032","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-011.2","D-DWG-PHW-011_C","Yes","","81"
"PHW-CM-0026","PHW","7033","BYDA TELSTRA COMMS","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-011.2","","Yes","","82"
"PHW-EL-0014","PHW","7481","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-011.2","","Yes","","83"
"PHW-CM-0027","PHW","7860","BYDA TELSTRA COMMS DN50","COMMUNICATIONS","Telstra","50","BYDA","D-DWG-PHW-012.2","","Yes","","84"
"PHW-EL-0015","PHW","7867","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-012.2","","Yes","","85"
"PHW-WA-0016","PHW","7882","BYDA TRC WATER DN 375","WATER","Toowoomba Regional Council","375","BYDA","D-DWG-PHW-012.2","","Yes","LOCATION/DEPTH OF WATER SERVICE NOT KNOWN. CONTRACTOR TO CONFIRM PRIOR TO CONSTRUCTION","86"
"PHW-CM-0028","PHW","7903","BYDA TELSTRA COMMS ","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-012.2","","Yes","","87"
"PHW-CM-0029","PHW","9476","BYDA COMMS DN50","COMMUNICATIONS","","50","BYDA","D-DWG-PHW-014.2","","Yes","","88"
"PHW-CM-0030","PHW","9698","BYDA COMMS DN50","COMMUNICATIONS","","50","BYDA","D-DWG-PHW-014.2","","Yes","","89"
"","PHW","10595","EUD LEVEL","SURVEY LEVEL","","","","D-DWG-PHW-016.2","","Yes","UNKOWN ASSET ","90"
"","PHW","10597","DG LEVEL","SURVEY LEVEL","","","","D-DWG-PHW-016.2","","Yes","UNKOWN ASSET ","91"
"","PHW","10598","DG LEVEL","SURVEY LEVEL","","","","D-DWG-PHW-016.2","","Yes","UNKOWN ASSET ","92"
"","PHW","10599","DG LEVEL","SURVEY LEVEL","","","","D-DWG-PHW-016.2","","Yes","UNKOWN ASSET ","93"
"","PHW","10609","EUD LEVEL","SURVEY LEVEL","","","","D-DWG-PHW-016.2","","Yes","UNKOWN ASSET ","94"
"","PHW","10610","DG LEVEL","SURVEY LEVEL","","","","D-DWG-PHW-016.2","","Yes","UNKOWN ASSET ","95"
"","PHW","10632","EUD LEVEL","SURVEY LEVEL","","","","D-DWG-PHW-016.2","","Yes","UNKOWN ASSET ","96"
"PHW-CM-0031","PHW","10642","BYDA TELSTRA COMMS DN100","COMMUNICATIONS","Telstra","100","BYDA","D-DWG-PHW-016.2","","Yes","","97"
"PHW-EL-0016","PHW","10676","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-016.2","D-DWG-PHW-016_C","Yes","","98"
"PHW-EL-0017","PHW","10691","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-016.2","D-DWG-PHW-016_C","Yes","","99"
"PHW-CM-0032","PHW","10692","BYDA TELSTRA COMS ","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-016.2","","Yes","","100"
"PHW-CM-0033","PHW","10775","BYDA TELSTRA COMS DN50","COMMUNICATIONS","Telstra","50","BYDA","D-DWG-PHW-016.2","","Yes","","101"
"PHW-EL-0018","PHW","10793","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-016.2","","Yes","","102"
"PHW-CM-0034","PHW","11188","BYDA TELSTRA COMMS ","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-016.2","","Yes","","103"
"PHW-EL-0019","PHW","11379","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-017.2","","Yes","","104"
"PHW-FN-0019","PHW","11735","FENCE LINE NO POST  - WIRES ONLY ","FENCE","","","","D-DWG-PHW-017.2","","Yes","","105"
"PHW-CM-0035","PHW","12452","BYDA TELSTRA COMMS DN100","COMMUNICATIONS","Telstra","100","BYDA","D-DWG-PHW-018.2","","Yes","","106"
"PHW-EL-0020","PHW","12470","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-018.2","","Yes","","107"
"PHW-EL-0021","PHW","12470","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-018.2","","Yes","","108"
"PHW-CM-0036","PHW","12470","BYDA COMMS DN100","COMMUNICATIONS","","100","BYDA","D-DWG-PHW-018.2","","Yes","","109"
"PHW-EL-0022","PHW","12507","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-018.2","","Yes","","110"
"PHW-CM-0037","PHW","12528","BYDA TELSTRA COMMS DN100","COMMUNICATIONS","Telstra","100","BYDA","D-DWG-PHW-018.2","","Yes","","111"
"PHW-EL-0023","PHW","12915","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-019.2","","Yes","","112"
"PHW-CM-0038","PHW","12969","BYDA TELSTRA COMMS","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-019.2","","Yes","","113"
"PHW-EL-0024","PHW","13024","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-019.2","","Yes","","114"
"PHW-WA-0017","PHW","13236","BYDA TRC WATER DN300","WATER","Toowoomba Regional Council","300","BYDA","D-DWG-PHW-019.2","","Yes","LOCATION/DEPTH OF WATER SERVICE NOT KNOWN.CONTRACTOR TO CONFIRM PRIOR TO CONSTRUCTION","115"
"PHW-EL-0025","PHW","13243","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-019.2","","Yes","","116"
"PHW-CM-0039","PHW","13275","PUP COMMS DN100","COMMUNICATIONS","","100","PUP","D-DWG-PHW-019.2","","Yes","","117"
"PHW-CM-0040","PHW","13278","PUP COMMS DN100","COMMUNICATIONS","","100","PUP","D-DWG-PHW-019.2","","Yes","","118"
"PHW-CM-0041","PHW","13278","PUP COMMS DN100","COMMUNICATIONS","","100","PUP","D-DWG-PHW-019.2","","Yes","","119"
"PHW-CM-0042","PHW","13278","BYDA NBN COMMS DN100","COMMUNICATIONS","NBN Co","100","BYDA","D-DWG-PHW-019.2","","Yes","","120"
"PHW-EL-0026","PHW","13287","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-019.2","","Yes","","121"
"PHW-CM-0043","PHW","13323","BYDA TELSTRA COMMS DN100","COMMUNICATIONS","Telstra","100","BYDA","D-DWG-PHW-020.2","","Yes","","122"
"PHW-EL-0027","PHW","13395","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-020.2","","Yes","","123"
"PHW-EL-0028","PHW","13556","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-020.2","","Yes","","124"
"PHW-EL-0029","PHW","13606","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-020.2","","Yes","","125"
"PHW-EL-0030","PHW","13613","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-020.2","","Yes","","126"
"PHW-EL-0031","PHW","13628","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-020.2","","Yes","","127"
"PHW-WA-0018","PHW","13644","BYDA TRC WATER DN375","WATER","Toowoomba Regional Council","375","BYDA","D-DWG-PHW-020.2","","Yes","LOCATION/DEPTH OF WATER SERVICE NOT KNOWN.CONTRACTOR TO CONFIRM PRIOR TO CONSTRUCTION","128"
"PHW-CM-0044","PHW","13650","BYDA TELSTA COMMS DN100","COMMUNICATIONS","Telstra","100","BYDA","D-DWG-PHW-020.2","","Yes","","129"
"PHW-EL-0032","PHW","13950","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-020.2","","Yes","","130"
"PHW-CM-0045","PHW","14114","BYDA NBN COMMS DN100","COMMUNICATIONS","NBN Co","100","BYDA","D-DWG-PHW-021.2","","Yes","","131"
"PHW-CM-0046","PHW","14116","BYDA TELSTRA COMMS DN35 ","COMMUNICATIONS","Telstra","35","BYDA","D-DWG-PHW-021.2","","Yes","","132"
"PHW-EL-0033","PHW","14192","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-021.2","","Yes","","133"
"PHW-EL-0034","PHW","14335","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-021.2","","Yes","","134"
"PHW-CM-0047","PHW","14630","BYDA TELSTRA COMMS DN35","COMMUNICATIONS","Telstra","35","BYDA","D-DWG-PHW-021.2","","Yes","","135"
"PHW-SW-0004","PHW","14803","BYDA TRC SEWER","SEWER","Toowoomba Regional Council","","BYDA","D-DWG-PHW-022.2","D-DWG-PHW-022_C","Yes","","136"
"PHW-EL-0035","PHW","14830","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-022.2","","Yes","","137"
"PHW-CM-0048","PHW","14832","PUP COMMS DN100","COMMUNICATIONS","","100","PUP","D-DWG-PHW-022.2","","Yes","","138"
"PHW-EL-0036","PHW","14925","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-022.2","","Yes","","139"
"PHW-EL-0037","PHW","15049","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-022.2","","Yes","","140"
"PHW-EL-0038","PHW","15052","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-022.2","","Yes","","141"
"PHW-CM-0049","PHW","15054","BYDA TELSTRA COMMS DN50 ","COMMUNICATIONS","Telstra","50","BYDA","D-DWG-PHW-022.2","","Yes","","142"
"PHW-CM-0050","PHW","15758","BYDA TELSTRA COMMS DN50","COMMUNICATIONS","Telstra","50","BYDA","D-DWG-PHW-023.2","","Yes","","143"
"PHW-CM-0051","PHW","15763","BYDA TELSTRA COMMS DN50","COMMUNICATIONS","Telstra","50","BYDA","D-DWG-PHW-023.2","","Yes","","144"
"PHW-EL-0039","PHW","15769","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-023.2","","Yes","","145"
"PHW-EL-0040","PHW","16590","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-024.2","","Yes","","146"
"PHW-SW-0005","PHW","17031","PUP SEWER DN375","SEWER","","375","PUP","D-DWG-PHW-025.2","","Yes","","147"
"PHW-SW-0006","PHW","18078","BYDA SEWER DN375","SEWER","","375","BYDA","D-DWG-PHW-026.2","","Yes","","148"
"PHW-CM-0052","PHW","18079","BYD TELSTRA COMMS ","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-026.2","","Yes","","149"
"PHW-FN-0020","PHW","18452","FENCE LINE NO POSTS  - WIRES ONLY","FENCE","","","","D-DWG-PHW-027.2","","Yes","","150"
"PHW-FN-0021","PHW","18507","FENCE LINE NO POSTS  - WIRES ONLY","FENCE","","","","D-DWG-PHW-027.2","","Yes","","151"
"PHW-EL-0041","PHW","18601","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-027.2","","Yes","","152"
